No.,USERID,IP,Time,A/V
1,3,188.253.8.99,133,Video
2,10002,188.253.8.99,260,Video
3,5615,2.190.58.69,44,Audio
4,2267,2.191.33.189,19,Audio
5,2267,2.191.33.189,36,Audio
6,NA,2.190.58.69,48,Audio
7,2132,5.106.216.67,92,Video
8,2267,2.191.33.189,34,Audio
9,1463,5.239.53.92,77,Video
10,5615,2.190.58.69,111,Audio
11,2267,2.191.33.189,131,Audio
12,5615,2.190.58.69,49,Video
13,5247,5.239.29.43,29,Audio
14,1495,2.178.107.152,93,Audio
15,5615,2.190.58.69,31,Video
16,5247,5.239.29.43,33,Audio
17,5247,5.239.29.43,24,Video
18,4834,5.202.186.255,149,Video
19,1463,5.239.53.92,214,Video
20,1495,2.178.107.152,117,Audio
21,5216,2.191.56.68,125,Video
22,5615,2.190.58.69,159,Video
23,5216,2.191.56.68,17,Video
24,4972,5.214.104.246,203,Video
25,5216,2.191.56.68,21,Video
26,2132,5.106.216.67,159,Video
27,10045,5.212.208.130,123,Video
28,1495,2.178.107.152,158,Audio
29,197,37.129.105.255,29,Video
30,5216,2.191.56.68,144,Video
31,5216,2.191.56.68,19,Video
32,10047,93.118.150.105,114,Audio
33,2132,5.106.216.67,174,Video
34,1463,5.239.53.92,308,Video
35,10047,93.118.150.105,38,Video
36,4342,5.238.194.85,516,Video
37,2441,91.98.192.143,59,Video
38,4834,NA,405,Video
39,10045,5.212.208.130,252,Video
40,10047,93.118.150.105,81,Video
41,4699,188.210.189.202,203,Video
42,4342,5.238.194.85,86,Video
43,4342,5.238.194.85,13,Video
44,197,37.129.105.255,189,Video
45,197,37.129.105.255,30,Video
46,4342,5.238.194.85,121,Video
47,1463,5.239.53.92,NA,Video
48,2441,91.98.192.143,175,Video
49,5216,2.191.56.68,324,NA
50,2441,91.98.192.143,53,Video
51,4699,188.210.189.202,203,Video
52,5216,2.191.56.68,31,Video
53,2246,5.134.150.242,275,Video
54,2441,91.98.192.143,123,Video
55,NA,2.191.56.68,NA,Video
56,4699,188.210.189.202,151,Video
57,5247,5.239.29.43,820,Video
58,2768,2.191.164.216,190,Video
59,2132,5.106.216.67,403,Video
60,5133,89.199.101.21,206,Video
61,197,37.129.105.255,496,Video
62,4699,188.210.189.202,238,Video
63,10051,89.219.104.90,36,Video
64,10037,5.210.123.112,129,Video
65,10047,93.118.150.105,901,Video
66,10051,89.219.104.90,141,Video
67,10037,5.210.123.112,128,Audio
68,10051,89.219.104.90,41,Audio
69,10051,89.219.104.90,23,Audio
70,10051,89.219.104.90,40,Audio
71,NA,93.118.150.105,150,Video
72,10051,89.219.104.90,128,Audio
73,NA,5.120.84.104,35,Video
74,10047,93.118.150.105,400,Video
75,10040,5.120.84.104,52,Video
76,2475,NA,237,Video
77,5133,89.199.101.21,484,NA
78,10056,188.209.77.139,239,NA
79,10047,93.118.150.105,535,Video
80,10059,95.82.32.133,143,Video
